ipd_id,id,name,is_active,created_at,updated_at,ipdb_link,year,manufacturer,machine_group_id,ipdb_id,opdb_id,rating,flippers,units
1248,1116,Hot Shots,False,,2018-07-16T09:00:53.243-07:00,http://ipdb.org/machine.cgi?id=1248,1989,Gottlieb,,1248.0,GrEVz-MOEzv,7.0,2.0,2342.0
1252,2737,Hoe Down,,2016-10-22T19:47:02.123-07:00,2018-07-16T09:00:45.172-07:00,http://ipdb.org/machine.cgi?id=1252,1978,Allied Leisure,,1252.0,G4J11-MJ9B1,,2.0,
1253,1245,Hula-Hula,False,2012-02-29T08:56:47.000-08:00,2018-07-16T09:00:47.687-07:00,http://ipdb.org/machine.cgi?id=1253,1965,Chicago Coin,,1253.0,GR7Lp-MQKEP,8.0,2.0,
1254,1211,Humpty Dumpty,False,2012-01-22T12:43:17.000-08:00,2013-04-18T13:36:51.728-07:00,http://ipdb.org/machine.cgi?id=1254,1947,Gottlieb,,1254.0,,7.0,6.0,6500.0
1256,2588,Hurdy Gurdy,,2016-04-18T04:51:59.098-07:00,2018-07-16T09:00:53.923-07:00,http://ipdb.org/machine.cgi?id=1256,1966,Gottlieb,,1256.0,GRpYQ-MdE3y,8.0,2.0,3186.0
1257,739,Hurricane,False,,2018-07-16T09:00:52.976-07:00,http://ipdb.org/machine.cgi?id=1257,1991,Williams,,1257.0,GrX09-M85bb,8.0,2.0,
1259,3110,Icarus,False,2019-01-28T07:41:42.392-08:00,2019-01-28T09:14:58.933-08:00,https://www.ipdb.org/machine.cgi?id=1259,1977,Recel,,1259.0,GR9v1-MBReY,,2.0,
1260,1794,Ice Fever,False,2013-10-01T17:40:04.991-07:00,2018-07-16T09:00:44.519-07:00,http://ipdb.org/machine.cgi?id=1260,1985,Gottlieb,,1260.0,G43DV-MQYKB,7.0,2.0,1585.0
1262,1024,Ice-Revue,False,,2018-07-16T09:00:42.085-07:00,http://ipdb.org/machine.cgi?id=1262,1965,Gottlieb,,1262.0,GRnYX-MQk08,8.0,2.0,2050.0
1266,786,The Incredible Hulk,False,,2018-07-16T09:00:46.320-07:00,http://ipdb.org/machine.cgi?id=1266,1977,Gottlieb,,1266.0,GRQW7-MLW5P,7.0,2.0,6150.0
1267,651,Indiana Jones: The Pinball Adventure,False,,2018-07-16T09:00:47.156-07:00,http://ipdb.org/machine.cgi?id=1267,1993,Williams,,1267.0,G4xZy-MLno6,8.0,2.0,12716.0
1270,2405,Iron Maiden,,2015-07-30T08:16:05.163-07:00,2018-07-16T09:00:45.098-07:00,http://ipdb.org/machine.cgi?id=1270,1981,Stern,,1270.0,G4yZN-MDEP7,7.0,4.0,1200.0
1277,906,Jack in the Box,False,,2018-07-16T09:00:51.419-07:00,http://ipdb.org/machine.cgi?id=1277,1973,Gottlieb,,1277.0,Gr2JJ-MnKlB,8.0,4.0,8300.0
1279,2757,Jackpot,,2016-12-02T06:35:27.748-08:00,2018-07-16T09:00:44.826-07:00,http://ipdb.org/machine.cgi?id=1279,1971,Williams,,1279.0,GR987-MJPEX,8.0,2.0,5147.0
1281,2840,Jacks Open,,2017-07-09T00:44:13.950-07:00,2018-07-16T09:00:43.170-07:00,http://ipdb.org/machine.cgi?id=1281,1977,Gottlieb,,1281.0,GrPpb-ML3pn,8.0,2.0,2975.0
1282,982,Jacks to Open,False,,2018-07-16T09:00:46.698-07:00,http://ipdb.org/machine.cgi?id=1282,1984,Gottlieb,,1282.0,GrPpb-MDyOy,7.0,2.0,2350.0
1286,2644,James Bond 007,,2016-05-10T21:25:02.820-07:00,2018-07-16T09:00:47.635-07:00,http://ipdb.org/machine.cgi?id=1286,1980,Gottlieb,,1286.0,G4PXJ-MQPlw,6.0,4.0,3625.0
1290,800,Jet Spin,False,,2018-07-16T09:00:53.070-07:00,http://ipdb.org/machine.cgi?id=1290,1977,Gottlieb,,1290.0,G4qzZ-M0oWR,8.0,2.0,4761.0
1298,2418,Jive Time,,2015-09-02T19:25:30.167-07:00,2018-07-16T09:00:53.516-07:00,http://ipdb.org/machine.cgi?id=1298,1970,Williams,,1298.0,GrjKk-Mx09X,6.0,2.0,2100.0
1304,1511,Joker,False,2013-02-27T08:19:58.195-08:00,2018-07-16T09:00:50.599-07:00,http://ipdb.org/machine.cgi?id=1304,1950,Gottlieb,,1304.0,GrXXB-MP3Bn,,2.0,850.0
1306,1443,Joker Poker,False,2013-01-07T17:15:02.181-08:00,2018-07-16T09:00:45.303-07:00,http://ipdb.org/machine.cgi?id=1306,1978,Gottlieb,,1306.0,GR9o1-MQjj8,8.0,3.0,9280.0
1308,802,Jokerz,False,,2018-07-16T09:00:50.995-07:00,http://ipdb.org/machine.cgi?id=1308,1988,Williams,,1308.0,Gry3j-Mq1Oe,8.0,2.0,5403.0
1314,1169,Jolly Roger,False,2011-11-13T17:42:40.000-08:00,2018-07-16T09:00:46.390-07:00,http://ipdb.org/machine.cgi?id=1314,1967,Williams,,1314.0,G4djP-MLnz0,7.0,2.0,3502.0
1316,1196,Joust,False,2012-01-05T21:36:23.000-08:00,2018-07-16T09:00:46.819-07:00,http://ipdb.org/machine.cgi?id=1316,1983,Williams,,1316.0,G4den-MLRYK,,4.0,402.0
1317,2490,Joust,,2015-11-09T14:40:32.948-08:00,2018-07-16T09:00:46.752-07:00,http://ipdb.org/machine.cgi?id=1317,1969,Bally,,1317.0,Grxk8-MJdwl,7.0,,1050.0
1321,1572,Jubilee,False,2013-04-20T15:10:04.926-07:00,2018-07-16T09:00:48.983-07:00,http://ipdb.org/machine.cgi?id=1321,1973,Williams,,1321.0,Gr3J1-MDB07,5.0,2.0,7303.0
1322,815,Judge Dredd,False,,2018-07-16T09:00:43.373-07:00,http://ipdb.org/machine.cgi?id=1322,1993,Bally,,1322.0,GRoZw-MLW3j,8.0,4.0,6990.0
1328,975,Jumpin Jack's,False,,2018-07-16T09:00:47.501-07:00,http://ipdb.org/machine.cgi?id=1328,1963,Williams,,1328.0,G5QLj-MLBy0,,2.0,1500.0
1329,1180,Jumping Jack,False,2011-12-12T00:20:58.000-08:00,2018-07-16T09:00:53.583-07:00,http://ipdb.org/machine.cgi?id=1329,1973,Gottlieb,,1329.0,Gr2JJ-MOExx,8.0,4.0,4975.0
1331,2609,Jungle,,2016-04-18T06:45:38.207-07:00,2018-07-16T09:00:52.124-07:00,http://ipdb.org/machine.cgi?id=1331,1960,Williams,,1331.0,GRL7N-Mq1dY,8.0,2.0,
1332,941,Jungle,False,,2018-07-16T09:00:48.842-07:00,http://ipdb.org/machine.cgi?id=1332,1972,Gottlieb,,1332.0,G5B0y-ML0xb,7.0,2.0,5775.0
1336,1512,Jungle King,False,2013-02-27T08:20:05.853-08:00,2018-07-16T09:00:44.678-07:00,http://ipdb.org/machine.cgi?id=1336,1973,Gottlieb,,1336.0,G5B0y-MQ2K0,7.0,2.0,825.0
1338,2099,Jungle Lord,False,2014-05-30T10:31:01.332-07:00,2018-07-16T09:00:47.250-07:00,http://ipdb.org/machine.cgi?id=1338,1981,Williams,,1338.0,G5nkY-MDv88,8.0,4.0,6000.0
1339,2628,Jungle Princess,,2016-04-25T10:06:44.748-07:00,2018-07-16T09:00:46.712-07:00,http://ipdb.org/machine.cgi?id=1339,1977,Gottlieb,,1339.0,GrNnr-MJkj3,8.0,4.0,1600.0
1340,876,Jungle Queen,False,,2018-07-16T09:00:47.711-07:00,http://ipdb.org/machine.cgi?id=1340,1977,Gottlieb,,1340.0,GrNnr-MQ2Bw,8.0,4.0,6795.0
1343,691,Jurassic Park,False,,2018-07-16T09:00:42.162-07:00,http://ipdb.org/machine.cgi?id=1343,1993,Data East,,1343.0,G4ZVB-MJ5lE,8.0,3.0,9008.0
1358,2519,Kewpie Doll,,2016-01-13T16:04:47.617-08:00,2018-07-16T09:00:44.258-07:00,http://www.ipdb.org/machine.cgi?id=1358,1960,Gottlieb,,1358.0,GR6ox-MJP59,,2.0,950.0
1362,1778,Kickoff,False,2013-09-25T08:53:47.941-07:00,2018-07-16T09:00:42.275-07:00,http://ipdb.org/machine.cgi?id=1362,1967,Williams,,1362.0,G4qEl-MQjk6,,,1150.0
1363,2404,Kicker,,2015-07-27T11:32:35.663-07:00,2018-07-16T09:00:46.613-07:00,http://www.ipdb.org/machine.cgi?id=1363,1966,Chicago Coin,,1363.0,G5Qed-MLX4Z,7.0,2.0,
1365,2594,Kick Off,,2016-04-18T05:16:09.915-07:00,2018-07-16T09:00:42.999-07:00,http://ipdb.org/machine.cgi?id=1365,1975,Bally,,1365.0,GRzed-MDBl4,7.0,4.0,1655.0
1366,2317,Kilroy,,2015-04-03T14:41:44.813-07:00,2015-04-03T14:54:41.630-07:00,http://ipdb.org/machine.cgi?id=1366,1947,Chicago Coin,,1366.0,,,,8800.0
1371,2300,King Kool,,2015-03-17T15:05:32.870-07:00,2018-07-16T09:00:46.119-07:00,http://ipdb.org/machine.cgi?id=1371,1972,Gottlieb,,1371.0,GRBly-MQ9kl,8.0,4.0,3325.0
1372,1027,King of Diamonds,False,,2018-07-16T09:00:51.187-07:00,http://ipdb.org/machine.cgi?id=1372,1967,Gottlieb,,1372.0,GrlPj-Mo1Ry,8.0,2.0,3200.0
1374,674,King Pin,False,,2018-07-16T09:00:50.219-07:00,http://ipdb.org/machine.cgi?id=1374,1973,Gottlieb,,1374.0,GR6DZ-MJrBz,8.0,4.0,4350.0
1375,2988,King Pin,False,2018-06-06T09:32:22.218-07:00,2018-07-16T09:00:44.619-07:00,http://www.ipdb.org/machine.cgi?id=1375,1962,Williams,,1375.0,Gr3Qk-MQkZ9,8.0,4.0,1250.0
1377,1832,King Rock,False,2013-11-02T12:15:19.570-07:00,2018-07-16T09:00:50.093-07:00,http://ipdb.org/machine.cgi?id=1377,1972,Gottlieb,,1377.0,GRBly-MJ58y,7.0,4.0,4000.0
1378,1454,King Tut,False,2013-01-18T19:06:00.408-08:00,2018-07-16T09:00:44.026-07:00,http://ipdb.org/machine.cgi?id=1378,1969,Bally,,1378.0,Gr3qw-MQjYp,5.0,2.0,800.0
1381,1973,Kings & Queens,False,2014-02-26T11:33:32.154-08:00,2018-07-16T09:00:41.999-07:00,http://ipdb.org/machine.cgi?id=1381,1965,Gottlieb,,1381.0,G4Ne1-ML3dR,8.0,2.0,2875.0
1382,2283,Kings of Steel,,2015-02-14T12:07:46.441-08:00,2018-07-16T09:00:50.526-07:00,http://ipdb.org/machine.cgi?id=1382,1984,Bally,,1382.0,GR67j-M7ZYy,7.0,3.0,2900.0
1385,1192,Kismet,False,2012-01-05T21:31:59.000-08:00,2018-07-16T09:00:53.292-07:00,http://ipdb.org/machine.cgi?id=1385,1961,Williams,,1385.0,G4ZD0-MjB9O,8.0,2.0,700.0
1386,785,Kiss,False,,2018-07-16T09:00:48.873-07:00,http://ipdb.org/machine.cgi?id=1386,1978,Bally,,1386.0,G4jXr-MQ6kz,7.0,2.0,17000.0
1388,2383,Klondike,,2015-06-12T16:26:46.489-07:00,2018-07-16T09:00:50.569-07:00,http://ipdb.org/machine.cgi?id=1388,1971,Williams,,1388.0,GR987-M5Rny,8.0,2.0,3302.0
1391,2379,Knock Out,,2015-06-11T05:37:45.771-07:00,2018-07-16T09:00:42.505-07:00,http://ipdb.org/machine.cgi?id=1391,1950,Gottlieb,,1391.0,GR6Zq-MJ6nw,7.0,2.0,3000.0
1392,918,Knockout,False,,2018-07-16T09:00:42.018-07:00,http://ipdb.org/machine.cgi?id=1392,1974,Bally,,1392.0,G4xzV-MQZeV,6.0,2.0,2085.0
1402,1043,Lady Luck,False,,2018-07-16T09:00:51.124-07:00,http://ipdb.org/machine.cgi?id=1402,1986,Bally,,1402.0,GR0nO-MdE2B,6.0,3.0,500.0
1404,2883,Lady Luck,,2017-11-21T11:45:49.496-08:00,2018-07-16T09:00:47.332-07:00,http://ipdb.org/machine.cgi?id=1404,1968,Williams,,1404.0,G5pzQ-MLlr2,8.0,2.0,3202.0
1405,1044,Lady Luck (EM),False,,2018-07-16T09:00:48.559-07:00,http://ipdb.org/machine.cgi?id=1405,1976,Recel,,1405.0,GrOBL-MQP13,7.0,2.0,
1408,2823,Laguna Beach,,2017-04-07T19:36:29.355-07:00,2017-04-08T10:45:41.948-07:00,http://ipdb.org/machine.cgi?id=1408,1960,Bally,,1408.0,,,,750.0
1412,2356,Lariat,,2015-06-10T19:07:06.954-07:00,2018-07-16T09:00:44.782-07:00,http://ipdb.org/machine.cgi?id=1412,1969,Gottlieb,,1412.0,G5LQ2-MDvYV,,2.0,150.0
1413,1056,Laser Ball,False,,2018-07-16T09:00:50.191-07:00,http://ipdb.org/machine.cgi?id=1413,1979,Williams,,1413.0,GRBXl-MLq9k,7.0,3.0,4500.0
1414,1104,Laser Cue,False,,2018-07-16T09:00:48.334-07:00,http://ipdb.org/machine.cgi?id=1414,1984,Williams,,1414.0,GRvJV-MJ4bR,7.0,4.0,2800.0
1415,842,Laser War,False,,2018-07-16T09:00:48.643-07:00,http://ipdb.org/machine.cgi?id=1415,1987,Data East,,1415.0,G5one-MQY5V,8.0,2.0,2569.0
